perplexity,n_clusters,n_regimes_found,sharpe_var
15,3,3,0.05311703103908172
15,4,4,0.5871793056038919
15,5,4,0.5871793056038919
30,3,2,0.03404060270545956
30,4,2,0.03404060270545956
30,5,16,2.792074357988255
50,3,9,1.28302041754646
50,4,10,1.1853146134157861
50,5,13,1.3457107913188653
